id,part_code,part_name,locator_id,created_at
000dbfda-d2e3-4a26-9b3e-b05a7063975c,SKU-10439,Body Shell W41,CTRA1-D-031-2,2026-07-21 02:30:02.965479+00
0020f426-8ef7-42d4-b609-9d17802808bd,SKU-11550,Gearbox R14,CTRA1-M-020-1,2026-07-21 02:30:02.965479+00
004100af-decc-4fe5-9ea0-07554de03db2,SKU-12692,Body Shell N98,CTRA1-V-024-1,2026-07-21 02:30:02.965479+00
00515da0-d3bd-492d-bac3-bc1439b70c44,SKU-12117,Wheel Axle H26,CTRA1-Q-051-2,2026-07-21 02:30:02.965479+00
00559877-e1e0-49a8-9db3-a8d0cdf24549,SKU-10625,Wheel Axle T60,CTRA1-E-061-2,2026-07-21 02:30:02.965479+00
006a61de-e7c6-4d7e-b0bd-d35150103c83,SKU-11682,Wheel Axle Q93,CTRA1-N-023-1,2026-07-21 02:30:02.965479+00
0085fb24-0ecc-4a9f-a5f2-282fa666778b,SKU-11946,Sensor Component N45,CTRA1-P-029-1,2026-07-21 02:30:02.965479+00
008ffac4-936f-4840-b5ae-fa05209e9dbc,SKU-10626,Motor F39,CTRA1-E-062-1,2026-07-21 02:30:02.965479+00
00a2ff85-9a7e-49c0-a725-aab32ee903fd,SKU-10654,Casing E33,CTRA1-F-013-1,2026-07-21 02:30:02.965479+00
00bf07e7-a22f-4d9e-9ee6-8ab400dceea8,SKU-12135,Casing T11,CTRA1-Q-060-2,2026-07-21 02:30:02.965479+00
00d72a73-f634-4b48-b1f4-ddbccd281da0,SKU-12170,Casing R63,CTRA1-R-015-1,2026-07-21 02:30:02.965479+00
00ee947c-d66d-441c-ac6c-a34556bf57a9,SKU-12815,Casing C70,CTRA1-W-022-2,2026-07-21 02:30:02.965479+00
01090910-ee2f-48a6-baaa-36ab5382898b,SKU-12759,Sensor Component N9,CTRA1-V-057-2,2026-07-21 02:30:02.965479+00
0118d18d-f1e6-4982-9ef7-259bfa421f09,SKU-10385,Panel C54,CTRA1-D-004-2,2026-07-21 02:30:02.965479+00
01219e69-c0da-4c0c-9a97-585440ea2705,SKU-10146,Gearbox B58,CTRA1-B-011-1,2026-07-21 02:30:02.965479+00
013ba783-7d3b-4970-b075-582860f52647,SKU-10377,Body Shell E26,CTRA1-C-063-2,2026-07-21 02:30:02.965479+00
013f362a-82bb-49ed-a448-f83d2f8d27db,SKU-10208,Casing B93,CTRA1-B-042-1,2026-07-21 02:30:02.965479+00
